                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.98792,                 2.0525,                 1.3828,                0.31315,                 0.4223,                0.32929,                0.23599,                 1.0934,                 2.7783,                 1.5001,             0.00055396,             0.00055396,             0.00055396
                      2,                 1.0047,                 1.6697,                 1.3798,                0.30258,                0.41722,                 0.3209,                0.22135,                 1.1744,                 2.3385,                 1.5983,              0.0010877,              0.0010877,              0.0010877
                      3,                 1.0021,                 1.6072,                 1.3838,                0.53991,                0.50225,                0.48859,                0.34069,                 1.0305,                 1.9172,                 1.5139,              0.0015993,              0.0015993,              0.0015993
                      4,                 0.9575,                 1.4904,                 1.3591,                0.31538,                0.39848,                0.32462,                0.23062,                 1.0932,                 2.2446,                 1.4968,               0.001568,               0.001568,               0.001568
                      5,                0.92432,                  1.418,                 1.3346,                 0.4359,                0.40717,                0.38391,                0.28006,                0.95174,                 2.3177,                 1.3462,               0.001535,               0.001535,               0.001535
                      6,                0.87553,                 1.3531,                 1.3006,                0.45691,                0.51966,                0.50215,                0.37685,                 0.9236,                 1.9774,                 1.3092,               0.001502,               0.001502,               0.001502
                      7,                0.86167,                 1.3174,                 1.2907,                 0.5125,                0.46847,                0.49384,                0.38161,                0.87236,                 2.1211,                 1.2588,               0.001469,               0.001469,               0.001469
                      8,                  0.839,                  1.289,                 1.2718,                0.38733,                0.53643,                0.45311,                0.35249,                 0.8125,                 1.8437,                 1.2094,               0.001436,               0.001436,               0.001436
                      9,                0.82031,                 1.2492,                 1.2609,                0.42428,                 0.4515,                0.45131,                0.35784,                0.80688,                 2.0814,                 1.1929,              0.0014029,              0.0014029,              0.0014029
                     10,                0.80346,                 1.2127,                 1.2472,                0.29199,                0.47215,                0.40024,                 0.3227,                0.84171,                 2.1357,                  1.215,              0.0013699,              0.0013699,              0.0013699
                     11,                 0.8045,                  1.207,                 1.2503,                0.60514,                0.47541,                0.54185,                0.42219,                0.77125,                 1.6107,                 1.1313,              0.0013369,              0.0013369,              0.0013369
                     12,                0.79033,                 1.1809,                 1.2359,                0.46011,                0.53446,                0.50716,                0.40379,                0.80314,                 1.6561,                 1.1825,              0.0013039,              0.0013039,              0.0013039
                     13,                0.77555,                 1.1485,                 1.2274,                0.37758,                0.50496,                0.42838,                0.34103,                0.76598,                 2.1025,                 1.1582,              0.0012709,              0.0012709,              0.0012709
                     14,                0.76711,                 1.1456,                 1.2214,                 0.5315,                0.49761,                0.52978,                0.42436,                0.68618,                 1.5489,                 1.0673,              0.0012379,              0.0012379,              0.0012379
                     15,                0.75786,                 1.1168,                 1.2123,                0.53083,                0.49841,                0.54284,                0.43623,                0.72302,                 1.6393,                  1.111,              0.0012049,              0.0012049,              0.0012049
                     16,                0.74302,                  1.105,                 1.2085,                0.39461,                0.55916,                0.47659,                0.39265,                0.71092,                 1.7436,                 1.0944,              0.0011719,              0.0011719,              0.0011719
                     17,                0.74988,                 1.0955,                 1.2025,                0.52317,                0.43892,                0.51009,                0.39924,                 0.7359,                 1.6798,                 1.1174,              0.0011389,              0.0011389,              0.0011389
                     18,                0.73566,                 1.0667,                 1.1964,                0.35844,                0.56952,                0.44078,                0.35077,                 0.7002,                 1.9652,                  1.087,              0.0011059,              0.0011059,              0.0011059
                     19,                0.73029,                  1.041,                 1.1885,                0.43285,                0.43123,                0.45387,                0.37279,                 0.7129,                  2.024,                 1.0953,              0.0010729,              0.0010729,              0.0010729
                     20,                0.71918,                 1.0209,                 1.1838,                0.47359,                0.50775,                0.48175,                 0.3934,                0.68377,                 1.6957,                 1.0765,              0.0010399,              0.0010399,              0.0010399
                     21,                0.71348,                 1.0242,                 1.1824,                0.49808,                0.48459,                0.51602,                0.41784,                0.68384,                 1.5892,                 1.0609,              0.0010069,              0.0010069,              0.0010069
                     22,                0.70617,                 1.0064,                 1.1769,                0.35503,                0.54422,                0.42197,                0.34159,                0.69814,                 2.0621,                 1.0804,             0.00097386,             0.00097386,             0.00097386
                     23,                0.68774,                0.97788,                 1.1634,                0.41236,                0.55048,                0.50595,                0.41899,                 0.6896,                 1.6177,                 1.0764,             0.00094085,             0.00094085,             0.00094085
                     24,                0.70343,                0.97857,                 1.1734,                0.45982,                0.46709,                0.46542,                0.38571,                0.68105,                 1.7846,                 1.0527,             0.00090785,             0.00090785,             0.00090785
                     25,                0.68654,                0.96822,                 1.1597,                0.38394,                0.55371,                0.43833,                0.36284,                0.66677,                 1.7703,                 1.0516,             0.00087484,             0.00087484,             0.00087484
                     26,                0.68497,                0.95021,                 1.1657,                 0.4239,                0.54996,                0.51892,                0.43169,                 0.6472,                 1.5947,                 1.0208,             0.00084184,             0.00084184,             0.00084184
                     27,                0.68267,                0.94585,                 1.1593,                0.48245,                0.54099,                0.53563,                0.43652,                0.66625,                 1.5748,                 1.0528,             0.00080883,             0.00080883,             0.00080883
                     28,                0.67723,                0.93299,                 1.1577,                0.41106,                0.54261,                0.49559,                0.41186,                0.66141,                 1.7376,                 1.0558,             0.00077582,             0.00077582,             0.00077582
                     29,                0.67879,                0.91241,                 1.1514,                0.52524,                0.47172,                 0.5404,                0.44797,                0.65381,                 1.6374,                 1.0441,             0.00074282,             0.00074282,             0.00074282
                     30,                0.66692,                0.91103,                 1.1471,                0.47578,                0.49849,                0.51102,                0.42161,                0.65978,                 1.6714,                 1.0404,             0.00070981,             0.00070981,             0.00070981
                     31,                0.65754,                0.88734,                 1.1409,                0.49868,                0.51136,                0.52732,                0.43403,                0.67474,                  1.556,                 1.0671,              0.0006768,              0.0006768,              0.0006768
                     32,                0.65507,                0.87778,                 1.1373,                0.45623,                 0.4854,                0.51184,                0.42763,                 0.6596,                 1.6929,                   1.05,              0.0006438,              0.0006438,              0.0006438
                     33,                0.64354,                0.86742,                  1.136,                0.47048,                0.51268,                0.50395,                0.41937,                 0.6626,                 1.6049,                 1.0263,             0.00061079,             0.00061079,             0.00061079
                     34,                0.64243,                0.86462,                 1.1312,                0.38892,                0.57202,                 0.4578,                0.38172,                0.65655,                 1.7148,                 1.0247,             0.00057778,             0.00057778,             0.00057778
                     35,                0.63629,                0.85172,                 1.1259,                0.49938,                0.51471,                0.52186,                 0.4346,                0.64843,                 1.5295,                 1.0187,             0.00054478,             0.00054478,             0.00054478
                     36,                0.63088,                0.84618,                 1.1271,                0.51444,                0.47996,                0.52538,                0.43656,                0.65067,                  1.595,                 1.0359,             0.00051177,             0.00051177,             0.00051177
                     37,                0.61939,                0.82454,                 1.1167,                0.47297,                0.50518,                0.52348,                 0.4364,                0.63175,                 1.6668,                 1.0267,             0.00047876,             0.00047876,             0.00047876
                     38,                0.62665,                0.81374,                  1.122,                 0.4444,                0.55725,                0.52914,                0.44163,                0.65393,                 1.6193,                 1.0383,             0.00044576,             0.00044576,             0.00044576
                     39,                0.62138,                0.81127,                 1.1184,                0.44891,                0.50343,                0.48062,                 0.4034,                0.63047,                 1.7179,                 1.0064,             0.00041275,             0.00041275,             0.00041275
                     40,                0.60828,                0.80003,                 1.1076,                0.50777,                0.50195,                 0.5424,                0.45696,                0.62769,                 1.6311,                 1.0212,             0.00037974,             0.00037974,             0.00037974
                     41,                0.59962,                0.79778,                 1.1126,                0.44504,                0.52996,                0.52407,                0.44285,                0.62306,                 1.5703,                 1.0112,             0.00034674,             0.00034674,             0.00034674
                     42,                0.57541,                0.76523,                 1.0935,                0.50461,                0.48408,                0.53356,                0.45578,                0.60197,                 1.5693,                0.99297,             0.00031373,             0.00031373,             0.00031373
                     43,                0.57476,                0.73386,                 1.0951,                0.42871,                0.57125,                0.51867,                 0.4457,                0.59176,                 1.6457,                0.98448,             0.00028072,             0.00028072,             0.00028072
                     44,                0.56762,                0.71668,                 1.0858,                0.44466,                0.55747,                0.53508,                0.45503,                 0.5945,                 1.6225,                0.98977,             0.00024772,             0.00024772,             0.00024772
                     45,                0.56474,                0.69269,                 1.0801,                0.41748,                0.56151,                0.50323,                0.42852,                0.60259,                   1.61,                0.99512,             0.00021471,             0.00021471,             0.00021471
                     46,                0.55053,                0.68238,                  1.076,                0.42978,                0.56732,                0.51383,                0.43488,                0.61364,                 1.6918,                 1.0088,              0.0001817,              0.0001817,              0.0001817
                     47,                0.54951,                0.67074,                 1.0703,                0.40839,                0.59681,                0.51221,                0.43485,                0.60269,                 1.6711,                 1.0017,              0.0001487,              0.0001487,              0.0001487
                     48,                0.54165,                0.65659,                 1.0647,                0.42179,                0.56879,                0.50948,                  0.433,                0.60542,                 1.7313,                 1.0077,             0.00011569,             0.00011569,             0.00011569
                     49,                0.53426,                0.64226,                 1.0614,                0.40382,                0.59666,                0.48677,                0.41169,                 0.6085,                 1.7551,                 1.0105,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     50,                0.53353,                0.64791,                 1.0586,                0.43164,                0.57578,                0.50922,                0.43281,                0.61289,                 1.6794,                 1.0155,             4.9677e-05,             4.9677e-05,             4.9677e-05
